Date,User,Message
2020-09-04 16:52:06,"하민","아예 ssr 에선 비로그인 상태로 되게 하고"
2020-09-04 16:52:08,"문성주","https://docs.aws.amazon.com/ko_kr/AmazonCloudFront/latest/DeveloperGuide/private-content-signed-urls.html"
2020-09-04 16:52:22,"문성주","이렇게"
2020-09-04 16:52:25,"문성주","데디케이트하게 "
2020-09-04 16:52:29,"문성주","URL을 발급해줄 수 있는데"
2020-09-04 16:52:43,"하민","ussr 통해서 브라우저 사이드에서 동작될때 거기서 유저 개인적 정보들 스위칭시킬까 싶기도"
2020-09-04 16:52:53,"하민","서명된 URL…!"
2020-09-04 16:53:00,"하민","아 이건"
2020-09-04 16:53:05,"문성주","그냥 ssr로 뽑아 놓고 사용자별로 signed url 주는거 어때요?"
2020-09-04 16:53:10,"문성주","자격증 발급할때 이렇게 주던데"
2020-09-04 16:53:11,"하민","어케하면 트래픽을 꿀빨 수 있을까에 대한 주제라"
2020-09-04 16:54:22,"jrjung","지나치게 트릭키한 형태가 되면 관리가 많이 어려워질까 좀 걱정되는데요 ㅋㅋ;;"
2020-09-04 16:54:45,"문성주","그렇죠"
2020-09-04 16:54:51,"jrjung","근데 사실 로그인해서 개인화 데이터 자체는 cdn의 문제가 아니지 않아요??"
2020-09-04 16:54:57,"문성주","트레이드오프가 필요합니다 비용 최적화나 이런건"
2020-09-04 16:55:02,"문성주","네 access control의 문제죠"
2020-09-04 16:55:05,"jrjung","js가 캐싱되는거지 데이터가 캐싱되는게 아니니가"
2020-09-04 16:55:23,"문성주","그니까 static html을 멀리하시고 js를 가까이 하십시오"
2020-09-04 16:56:24,"jrjung","ussr이라고 하니까 근데 다른거 떠오르면 저 좀 이상한거죠"
2020-09-04 16:59:17,"Spring Boot JPA","사진"
2020-09-04 16:59:21,"Spring Boot JPA","또 반려ㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕ"
2020-09-04 16:59:32,"심플리시티👀","와우"
2020-09-04 16:59:39,"심플리시티👀","황이버"
2020-09-04 17:00:05,"쓰리jS","최종가서 떨어진회사네 .."
2020-09-04 17:01:33,"자바개발즈아","next.js관련해서 state 질문하나 드리려고 하는제 제 이야기에 귀 귀울여 주싧분 계신가요?"
2020-09-04 17:02:09,"하민님의 제자 마루","html 태그 포함된게 문제였네요"
2020-09-04 17:11:01,"류웅","절망에계곡에엤네.."
2020-09-04 17:11:59,"FreeVue(홍성준)","후.. 로그인 기능들이 착착 붙기 시작하지 기분이 좋군요~"
2020-09-04 17:12:55,"넝넝","저테마진짜이쁘내영"
2020-09-04 17:16:16,"Ivan","리플레쉬 토큰도 적용해야죠 그때 다이어 그램보니까"
2020-09-04 17:16:26,"FreeVue(홍성준)","네 지금 그 부분 작업중입니다"
2020-09-04 17:16:32,"Ivan","엄청 라이트하게 되어잇더만요"
2020-09-04 17:16:39,"FreeVue(홍성준)","네..ㅋㅋㅋㅋㅋ"
2020-09-04 17:16:50,"FreeVue(홍성준)","그래서 아는 개발자분께 검토 부탁드렸는데"
2020-09-04 17:16:53,"FreeVue(홍성준)","조금 수정해주셨어요"
2020-09-04 17:17:14,"FreeVue(홍성준)","그래서 그 부분에 맞춰서 작업을 해보고 있는데"
2020-09-04 17:17:26,"FreeVue(홍성준)","그래도 발급과 검증도 됬어서 그런지 좀 수월하네요 이제"
2020-09-04 17:18:39,"FreeVue(홍성준)","음.. api를 전부 미들웨어 단에서 처리할까.."
2020-09-04 17:23:57,"Spring Boot JPA","사진"
2020-09-04 17:24:00,"Spring Boot JPA","사진"
2020-09-04 17:24:03,"Spring Boot JPA","하나로 묶어서 보내라면서
zip 파일을 못보내는건 무슨 경우일까요"
2020-09-04 17:33:07,"올레로","올레로님이 나갔습니다."
2020-09-04 17:46:46,"심플리시티👀","usb에 담아서 우편으로 보내라는 건가"
2020-09-04 17:47:20,"베이스","네이버 메일로 보내시는건가요?"
2020-09-04 17:48:01,"베이스","받는 곳이 네이버 메일 사용할 때 zip파일 보내시려면"
2020-09-04 17:48:12,"베이스","zip파일을 한 번 더 압축해서 보내시면 되는 걸로 알고 있습니다 :>"
2020-09-04 17:48:15,"문성주","실제로 데이터 스토리지가 너무 크면"
2020-09-04 17:48:18,"문성주","디스크떼서"
2020-09-04 17:48:22,"문성주","택배로 보내기도합니다"
2020-09-04 17:48:24,"문성주","근데 그게 더 빠름"
2020-09-04 17:48:32,"Spring Boot JPA","아뇨아뇨! 네이버 개발자관리자요!"
2020-09-04 17:48:35,"문성주","...() 근데 그건 아닌거 같고 "
2020-09-04 17:48:35,"문성주","ㅋㅋ"
2020-09-04 17:48:38,"Spring Boot JPA","pdf로 해서 보냈어요"
2020-09-04 17:48:43,"코린이/서울","직접 얼굴도 보여줄겸 들고가세야"
2020-09-04 17:49:03,"문성주","보러갈까요?"
2020-09-04 17:49:09,"문성주","는 문앞에서 돌아가 당할 수 도?"
2020-09-04 17:49:24,"베이스","ㅋㅋㅋㅋㅋㅋ"
2020-09-04 17:49:57,"코린이/서울","안돼 돌아가"
2020-09-04 17:50:22,"문성주","어.."
2020-09-04 17:50:25,"문성주",".."
2020-09-04 17:50:29,"문성주","채용공고 확인"
2020-09-04 17:53:46,"Spring Boot JPA","사진"
2020-09-04 17:53:48,"Spring Boot JPA","회사 일 끗
기획 끗!
드디어 개발 계획!"
2020-09-04 17:54:06,"dohoons","https://dohoons.github.io/world-html/"
2020-09-04 17:54:15,"dohoons","순식간에 뚝딱"
2020-09-04 17:57:03,"넥스트","video autoplay 관련해서 궁금한게 있는데요
브라우저 정책상 mute여야 가능한걸로 아는데
넷플릭스는 어떻게 mute가 아닌데도 잘 되는 걸까요?"
2020-09-04 17:57:32,"dohoons","재생시킨후에 볼륨조정하면 댈지도요"
2020-09-04 17:57:36,"dohoons","해보진않앗어요"
2020-09-04 17:57:42,"넥스트","해봤는데"
2020-09-04 17:57:46,"넥스트","다시 정지되네요.."
2020-09-04 17:57:50,"넥스트","Uncaught (in promise) DOMException: play() failed because the user didn't interact with the document first. https:// goo.gl/xX8pDD"
2020-09-04 17:57:59,"FreeVue(홍성준)","컨텐츠를 클릭하면 재생으로 인식될걸요"
2020-09-04 17:58:02,"넥스트","뮤트 안하고 재생하면 에러뜨고요"
2020-09-04 17:58:08,"dohoons","사용자 이벤트에 실어서 재생하면 되는데"
2020-09-04 17:58:14,"dohoons","spa면 가능할거같기도하고영"
2020-09-04 17:58:16,"FreeVue(홍성준)","네"
2020-09-04 17:58:27,"dohoons","맘대로 재생하지말라는거가 문제인데"
2020-09-04 17:58:28,"넥스트","네 클릭이 필요한거 같은데, 클릭없이 접속하면 바로 플레이되게 하고 싶어서요"
2020-09-04 17:58:37,"dohoons","어째해쓰까잉.."
2020-09-04 17:58:42,"넥스트","네 정책은 이해하는데 넷플릭스는"
2020-09-04 17:58:51,"넥스트","뮤트 없이 잘 하고 있어서"
2020-09-04 17:58:57,"dohoons","넥플릭스를 안써서 모르지만"
2020-09-04 17:58:58,"넥스트","어떻게 구현한걸까 궁금하네요"
2020-09-04 17:59:00,"dohoons","유튜브도 그러쳥"
2020-09-04 17:59:10,"dohoons","안써서=> 못써서"
2020-09-04 17:59:16,"dohoons","이모티콘"
2020-09-04 17:59:29,"넥스트","유튜브는 마우스 호버하면 뮤트 상태로 재생돼요"
2020-09-04 17:59:37,"넥스트","클릭하면 소리 나도록 전환 되고"
2020-09-04 18:00:06,"바보K","6시 퇴근자분들 지난 일주도 고생하셨어여!
어여들 들어가세여!"
2020-09-04 18:00:14,"dohoons","유튜브가 크롬에서는 그냥 허용대는데"
2020-09-04 18:00:21,"dohoons","사파리에선 뮤트상태로 시작하는거같네영"
2020-09-04 18:00:40,"넥스트","페이스북도 마찬가지이고.. 
넷플릭스는 사파리, 크롬 다 잘되요.. 신기하네요"
2020-09-04 18:04:57,"다다","사파리가 비디오 스트리밍마다"
2020-09-04 18:05:36,"다다","동작이 달라서"
2020-09-04 18:05:55,"다다","hls는 독특하게 동작해서"
2020-09-04 18:08:02,"넥스트","아 그럴수도 있겠네요.
근데 저는 크롬에서도 안되긴해요ㅋㅋㅋ"
2020-09-04 18:08:32,"넥스트","콘솔에서 getElementById하고 클릭하면 되는것 같기도 하네요"
2020-09-04 18:08:56,"넥스트","video.js에서
play()하면 에러발생하는데
요걸로 한번 다시 해볼게요"
2020-09-04 18:09:30,"하민","흑흑"
2020-09-04 18:09:47,"하민","람다에서 라우팅경로마다 캐싱 30초 어케걸져"
2020-09-04 18:11:09,"넥스트","아 콘솔에서는 되는데. 코드로 짜니까 동일한 에러 나네요ㅠㅠ"
2020-09-04 18:11:50,"dohoons","퇵"
2020-09-04 18:12:01,"나노C++공학","퇴근 축하해요 👍👍"
2020-09-04 18:12:59,"바보K","고생하셨어여!"
2020-09-04 18:33:32,"Ivan","인증 붙이면 권한도 붙이고 해야죠 ㅋㅋㅋ"
2020-09-04 18:35:06,"해하차쳘햐","해하차쳘햐님이 들어왔습니다."
2020-09-04 18:35:07,"팬다 Jr.","방가워요 공지 확인 부탁드립니다"
2020-09-04 18:35:08,"공지봇_9min","*** 공 지 사 항 ***
 
1. 입장 시 바로 인사/소개 없으면 강퇴입니다.
   ㄴ 사용언어, 서비스, 회사, 직군, 업무, 취준생, 예비 개발자, 학생 등 자신을 나타낼 수 있는 말로 소개해주시면 됩니다.
 
2. 광고/구인구직 모두 운영진과 상의 후 진행 필수, 개인 봇 상의 없이 진행할 경우 강퇴입니다.
 
3. 논쟁거리 또는 불특정 다수를 불편하게 하는 말은 삼가주세요.
 
4. 재입장 시에도 소개 필수입니다.
 
5. 닉네임은 최대한 중복을 피해서 작성 부탁드립니다.
   (. , - 등등 호칭하기 힘든 닉네임은 피해 주세요.)"
2020-09-04 18:42:45,"노드몬","노드몬님이 들어왔습니다."
2020-09-04 18:42:45,"팬다 Jr.","방가워요 공지 확인 부탁드립니다"
2020-09-04 18:42:46,"공지봇_9min","*** 공 지 사 항 ***
 
1. 입장 시 바로 인사/소개 없으면 강퇴입니다.
   ㄴ 사용언어, 서비스, 회사, 직군, 업무, 취준생, 예비 개발자, 학생 등 자신을 나타낼 수 있는 말로 소개해주시면 됩니다.
 
2. 광고/구인구직 모두 운영진과 상의 후 진행 필수, 개인 봇 상의 없이 진행할 경우 강퇴입니다.
 
3. 논쟁거리 또는 불특정 다수를 불편하게 하는 말은 삼가주세요.
 
4. 재입장 시에도 소개 필수입니다.
 
5. 닉네임은 최대한 중복을 피해서 작성 부탁드립니다.
   (. , - 등등 호칭하기 힘든 닉네임은 피해 주세요.)"
2020-09-04 18:43:19,"노드몬","안녕하세요 10개월 node.js개발자 입니다. 이직준비로 react공부중이에요~"
2020-09-04 18:43:37,"FreeVue(홍성준)","이모티콘"
2020-09-04 18:44:08,"FreeVue(홍성준)","아... 그러면 또 하위 유저로 그룹도 추가해야.."
2020-09-04 18:50:00,"해하차쳘햐","채팅방 관리자가 메시지를 가렸습니다."
2020-09-04 18:50:10,"호수","민아씨.."
2020-09-04 18:50:18,"호수","아직도 이러고있어요?"
2020-09-04 18:51:05,"하민","100만원으로"
2020-09-04 18:51:12,"문성주","@jrjung  "
2020-09-04 18:51:12,"하민","돈을 넣으면"
2020-09-04 18:51:13,"문성주","@Ivan  "
2020-09-04 18:51:15,"프늅","민아치 ㄷ"
2020-09-04 18:51:15,"문성주","@바보K  "
2020-09-04 18:51:16,"하민","50만원이 되는 기적"
2020-09-04 18:51:19,"문성주","@potionstory  "
2020-09-04 18:51:19,"바보K","넹"
2020-09-04 18:51:21,"문성주","아무나 오십셔"
2020-09-04 18:51:23,"하민","파파팡"
2020-09-04 18:51:24,"바보K","해하차쳘햐님을 내보냈습니다."
2020-09-04 18:51:31,"바보K","처리하고 가렸어영!"
2020-09-04 18:51:35,"리우","1호선으로 퇴근 중인데 어떤 아저씨가 옆에 앉은 분이 다리 꼬고 앉았다고 고래고래 소리 치면서 죽여버리겠다고 욕설을 하시고 공포감 형성하는데, 정작 본인은 쩍벌을 하고 계시네요 .."
2020-09-04 18:51:36,"dohoons","$potionstory"
2020-09-04 18:51:41,"potionstory","저 불렀어요?"
2020-09-04 18:51:48,"바보K","광고 들어와서 처리했어영"
2020-09-04 18:51:50,"MEME","제 생각에는 요즘 밴드를 안하니까 웹사이트를 제작하시는건 어떠세요??"
2020-09-04 18:51:55,"Ivan","굳"
2020-09-04 18:51:55,"potionstory","빠르네요 후후"
2020-09-04 18:52:00,"MEME","아"
2020-09-04 18:52:03,"Ivan","이모티콘"
2020-09-04 18:52:04,"MEME","내보내셨네여"
2020-09-04 18:52:04,"dohoons","$(potionstory)"
2020-09-04 18:52:21,"potionstory","다시 평화가 찾아왔습니다 하시던일들 하세요"
2020-09-04 18:52:27,"dohoons",".clone()"
2020-09-04 18:52:41,"리우","누가 신고했는지 지하철 보안 요원들 오니깐 급조용하시고 강제 하차 당하셨네요, 혼돈의 일호선 ㅡㅡ"
2020-09-04 18:56:38,"헤드헌터 커피중독","죽여버리겠다고 하는건 협박범 현행.."
2020-09-04 18:57:00,"헤드헌터 커피중독","피해자분이 정말로 위험을 느꼈다고 경찰에 증언하면 아마 고소 될텐데.."
2020-09-04 18:57:32,"weio","ㄹㅈㄷ"
2020-09-04 18:58:39,"리우","피해자 분은 다른칸으로 이동하셨어요 ㅜㅜ"
2020-09-04 18:59:15,"Web","Web님이 들어왔습니다."
2020-09-04 18:59:15,"팬다 Jr.","방가워요 공지 확인 부탁드립니다"
2020-09-04 18:59:17,"공지봇_9min","*** 공 지 사 항 ***
 
1. 입장 시 바로 인사/소개 없으면 강퇴입니다.
   ㄴ 사용언어, 서비스, 회사, 직군, 업무, 취준생, 예비 개발자, 학생 등 자신을 나타낼 수 있는 말로 소개해주시면 됩니다.
 
2. 광고/구인구직 모두 운영진과 상의 후 진행 필수, 개인 봇 상의 없이 진행할 경우 강퇴입니다.
 
3. 논쟁거리 또는 불특정 다수를 불편하게 하는 말은 삼가주세요.
 
4. 재입장 시에도 소개 필수입니다.
 
5. 닉네임은 최대한 중복을 피해서 작성 부탁드립니다.
   (. , - 등등 호칭하기 힘든 닉네임은 피해 주세요.)"
2020-09-04 18:59:24,"Web","안녕하세여"
2020-09-04 18:59:55,"Web","It쪽 관심있어서 공부하려고 하는 학생에다가 취업도 생각중입니다"
2020-09-04 19:00:14,"Web","그래서 말인데 혹시 학원 다녀보신 분 계신가요?"
2020-09-04 19:00:17,"바보K","다들 퇴근하세여 불금이에여!
지난 한주 고생하셨습니다!"
2020-09-04 19:03:51,"헤드헌터 커피중독","퇴근하고 싶습니다..;ㅁ;ㅁ;"
2020-09-04 19:04:02,"Web","Web님이 나갔습니다."
2020-09-04 19:04:02,"FreeVue(홍성준)","학원 출신 여기"
2020-09-04 19:04:09,"헤드헌터 커피중독","ㅋㅋㅋㅋㅋ"
2020-09-04 19:04:14,"FreeVue(홍성준)","...5초만 빨리 답해드릴걸"
2020-09-04 19:04:15,"헤드헌터 커피중독","아니 자기소개도 제대로 안하고"
2020-09-04 19:04:28,"헤드헌터 커피중독","저렇게 글쓰는건..딱봐도.."
2020-09-04 19:04:31,"밤밤","ㅇ.ㅇ"
2020-09-04 19:04:35,"FreeVue(홍성준)","학원 어때요"
2020-09-04 19:04:39,"FreeVue(홍성준)","뭐 겅부해야해요"
2020-09-04 19:04:47,"심플리시티👀","성격 급해서"
2020-09-04 19:04:50,"심플리시티👀","개발자 못할 듯"
2020-09-04 19:04:51,"Ivan","공부하기전에"
2020-09-04 19:04:57,"Ivan","이거 듣고해요"
2020-09-04 19:05:07,"Ivan","'질풍가도-하현우 (국카스텐)' 음악을 공유했습니다."
2020-09-04 19:05:16,"헤드헌터 커피중독","검은사막모바일"
2020-09-04 19:05:23,"헤드헌터 커피중독","이거 뒷광고 아닙니까!"
2020-09-04 19:05:25,"FreeVue(홍성준)","하연우 + 질풍가도는 안들을 수 없겠내요"
2020-09-04 19:05:30,"헤드헌터 커피중독","의심스럽습니다. 해명하세요"
2020-09-04 19:05:43,"FreeVue(홍성준)","구독자(?) 1242명"
2020-09-04 19:05:50,"Ivan","하핫"
2020-09-04 19:05:58,"Ivan","이거 팔굽혀펴기 하기전에"
2020-09-04 19:06:11,"Ivan","전 켜놓고해요"
2020-09-04 19:06:16,"나니야","ㅋㅋㅋ파이팅넘쳐서"
2020-09-04 19:06:19,"Ivan","왠지 힘나는거 같아서 ㅋㅋㅋㅋ"
2020-09-04 19:06:24,"나니야","저도 출퇴근시 듣슴니다ㅋㄱㄲ"
2020-09-04 19:06:28,"나니야","어제도들음ㅋㄱㅋㅋㅋ"
2020-09-04 19:06:31,"심플리시티👀","불금이네여"
2020-09-04 19:06:33,"Ivan","파이팅 되잖아요"
2020-09-04 19:06:37,"헤드헌터 커피중독","저게 근육맨 원래 노래였군요 ㅋㅋ"
2020-09-04 19:06:39,"나니야","맞음ㅋ ㄲ"
2020-09-04 19:06:57,"문성주","저는.."
2020-09-04 19:07:00,"문성주","러닝할때.."
2020-09-04 19:07:01,"문성주","뮤즈 노래.."
2020-09-04 19:07:04,"FreeVue(홍성준)","샵검색: #무이이야"
2020-09-04 19:07:05,"헤드헌터 커피중독","https://youtu.be/lV8eIRFWEXU"
2020-09-04 19:07:06,"FreeVue(홍성준)","이가 듣고"
2020-09-04 19:07:12,"문성주","스톡ㄱ홀롬신드롬.. "
2020-09-04 19:07:13,"Ivan","왠지 팔굽혀펴기 하나 더 할수 있을듯해여"
2020-09-04 19:07:14,"FreeVue(홍성준)","샵검색: #민초의 난"
2020-09-04 19:07:18,"FreeVue(홍성준)","이거 들으면 의협심에"
2020-09-04 19:07:21,"FreeVue(홍성준)","퇴사합니다"
2020-09-04 19:11:32,"뷰리니","뷰리니님이 나갔습니다."
2020-09-04 19:11:47,"코린이/서울","퇴사한다는 글보고 얼른 봤는데 노래추천받고 갑니다"
2020-09-04 19:12:15,"초보대학생","게시글 상세보기에서 보통 get으로 요청보내시나요?"
2020-09-04 19:12:56,"FreeVue(홍성준)","네"
2020-09-04 19:13:02,"FreeVue(홍성준)","단순 데이터 조회는 get"
2020-09-04 19:13:19,"Ivan","이모티콘"
2020-09-04 19:13:46,"dohoons","전부 post로 해도 됩니다.. 만 저랑은 일 못하겟네요"
2020-09-04 19:14:05,"FreeVue(홍성준)","ㅋㅋㅋㅋㅋㅋㅋ"
2020-09-04 19:14:19,"FreeVue(홍성준)","서버가 해달라는데로 해주면 됩니다"
2020-09-04 19:14:32,"FreeVue(홍성준)","delete로 달라하면...."
2020-09-04 19:14:36,"초보대학생","?????!"
2020-09-04 19:14:44,"초보대학생","아 이거 왜 고민되지"
2020-09-04 19:14:56,"dohoons","restful 하게 하면대는데 고민할거음서영"
2020-09-04 19:15:00,"초보대학생","보낼데이터 글 아이디값밖에 없ㄴ느데"
2020-09-04 19:15:24,"초보대학생","해킹법이 id값을가지고 해킹을 할 수 있을 수도 같은"
2020-09-04 19:15:27,"초보대학생","이상한 망상에"
2020-09-04 19:15:30,"초보대학생","빠졌습니다"
2020-09-04 19:16:56,"한음","한음님이 들어왔습니다."
2020-09-04 19:16:56,"팬다 Jr.","방가워요 공지 확인 부탁드립니다"
2020-09-04 19:16:57,"공지봇_9min","*** 공 지 사 항 ***
 
1. 입장 시 바로 인사/소개 없으면 강퇴입니다.
   ㄴ 사용언어, 서비스, 회사, 직군, 업무, 취준생, 예비 개발자, 학생 등 자신을 나타낼 수 있는 말로 소개해주시면 됩니다.
 
2. 광고/구인구직 모두 운영진과 상의 후 진행 필수, 개인 봇 상의 없이 진행할 경우 강퇴입니다.
 
3. 논쟁거리 또는 불특정 다수를 불편하게 하는 말은 삼가주세요.
 
4. 재입장 시에도 소개 필수입니다.
 
5. 닉네임은 최대한 중복을 피해서 작성 부탁드립니다.
   (. , - 등등 호칭하기 힘든 닉네임은 피해 주세요.)"
2020-09-04 19:17:44,"한음","안녕하세영 잘부탁드립니답"
2020-09-04 19:18:34,"한음","사용 언어는 조금 다양합니다.
일단 자바스크립트가 주 사용 언어고
파이썬 루비 자바 C++등 하고있습니다"
2020-09-04 19:18:57,"한음","요새 다루는 언어는 자바스크립트랑 파이썬을 다룹니당"
2020-09-04 19:19:31,"FreeVue(홍성준)","와....."
2020-09-04 19:19:31,"한음","직군은 프론트엔드 개발자이지만 풀스텍이 목표이구여 현재 재직중입니다"
2020-09-04 19:19:41,"최종근","최종근님이 들어왔습니다."
2020-09-04 19:19:41,"팬다 Jr.","방가워요 공지 확인 부탁드립니다"
2020-09-04 19:19:43,"공지봇_9min","*** 공 지 사 항 ***
 
1. 입장 시 바로 인사/소개 없으면 강퇴입니다.
   ㄴ 사용언어, 서비스, 회사, 직군, 업무, 취준생, 예비 개발자, 학생 등 자신을 나타낼 수 있는 말로 소개해주시면 됩니다.
 
2. 광고/구인구직 모두 운영진과 상의 후 진행 필수, 개인 봇 상의 없이 진행할 경우 강퇴입니다.
 
3. 논쟁거리 또는 불특정 다수를 불편하게 하는 말은 삼가주세요.
 
4. 재입장 시에도 소개 필수입니다.
 
5. 닉네임은 최대한 중복을 피해서 작성 부탁드립니다.
   (. , - 등등 호칭하기 힘든 닉네임은 피해 주세요.)"
2020-09-04 19:20:07,"최종근","최종근님이 나갔습니다."
2020-09-04 19:20:28,"한음","회사에서 여러 언어를 다루다보니"
2020-09-04 19:20:51,"노드몬","css질문 가능할까요?"
2020-09-04 19:21:11,"한음","프레임워크도 언어별로 다뤄봤우ㅕㅇ"
2020-09-04 19:21:34,"한음","ios14 베타버전이라 타자가 잘 안먹힙니다ㅠ"
2020-09-04 19:21:52,"한음","ㅠㅓ블리싱도 가끔합니답"
2020-09-04 19:21:54,"앞개발","반갑습니당ㅎㅎ"
2020-09-04 19:22:01,"한음","반가워영ㅎㅎㅎ"
2020-09-04 19:22:15,"한음","아무래도 프로젝트 하는데 있어"
2020-09-04 19:22:25,"한음","자바스크립트가 주력인데 너무 모르는것 같아서여"
2020-09-04 19:22:44,"한음","무튼 반갑습니당"
2020-09-04 19:22:45,"CreeJee","이모티콘"
2020-09-04 19:22:50,"CreeJee","이모티콘"
2020-09-04 19:23:08,"노드몬","css 기초...? 질문인데"
2020-09-04 19:23:09,"노드몬","사진"
2020-09-04 19:23:40,"노드몬","이러한 많은 g태그에서 fill='#000000'인 경우에만 css를 적용시키고 싶습니다. 어떤식으로 하면 좋을까요? 간단한 방향만이라도 부탁드립니다!"
2020-09-04 19:24:26,"dohoons","attribute selector로 잡을수잇을거에영"
2020-09-04 19:24:53,"한음","css만으로 컬러칩이 #000000을 찾아야하나영"
2020-09-04 19:24:59,"dohoons","rect[fill='#000000']"
2020-09-04 19:24:59,"노드몬","document.querySelectorAll('rect[fill=""#000000""]'); 이런식으로는 불가능합니다!"
2020-09-04 19:25:09,"한음","저거 음"
2020-09-04 19:25:22,"한음","구글 그래프 api인가여"
2020-09-04 19:25:30,"노드몬","오...넵 맞아요"
2020-09-04 19:25:44,"노드몬","도큐먼트에 제가 하고싶은 옵션이없어서"
2020-09-04 19:26:00,"한음","거기에 나온 usage로도"
2020-09-04 19:26:13,"한음","커스텀할수있을텐딩 색을 바꾸시켜는건가여"
2020-09-04 19:26:15,"Spring Boot JPA","치킨 추천 받습니다
2마리!"
2020-09-04 19:26:21,"한음","불닭까르보!!!"
2020-09-04 19:26:23,"노드몬","아녀 width를 바꾸고싶어요"
2020-09-04 19:26:28,"dohoons","호식이투마리"
2020-09-04 19:26:36,"한음","음 그럼"
2020-09-04 19:26:36,"노드몬","공식문서 모든옵션들 다 봤는데 없어요ㅜㅠㅠ"
2020-09-04 19:26:53,"한음","저런 경우는"
